"addressKey","sitKey","language","streetPrefixName","additionalStreetPrefixName","streetName","streetSuffixName","additionalStreetSuffixName","houseNumber","houseNumberSupplement","city","district","region","country","postalCode","timeZone","longitude","latitude","emailAddress","mobilePhoneNumber","phoneNumber","phoneNumberExtension"
address1,siteA1,EN,,,Biscayne Blvd,,,"10881000",,Miami,,,US,,,25.783,-80.189,email@miami.com,,,
address2,siteA2,EN,,,NW 3rd Ave,,,"3090000",,Miami,,,US,,,25.774,-80.193,email1@miami.com,,,
address3,siteA3,EN,,,S Miami Ave,,,"608000",,Miami,,,US,,,25.774,-80.193,email2@miami.com,,,
address4,siteA4,EN,,,NW 19th St,,,"2268000",,Miami,,,US,,,25.774,-80.193,email4@miami.com,,,
address5,siteA5,EN,,,NW 3rd St,,,"1890000",,Miami,,,US,,,25.782,-80.236,email5@miami.com,,,
address6,siteA6,EN,,,"4th St",,,"181320",,Miami,,,US,,,25.783,-80.148,email6@miami.com,,,
address7,siteA7,EN,,,NE 2nd Ave,,,"371280",,Miami,,,US,,,25.817,-80.900,email7@miami.com,,,
address8,siteA8,EN,,,NW 21st St Concourse D,,,"514080",,Miami,,,US,,,25.815,-80.318,email8@miami.com,,,
address9,siteA9,EN,,,W 40th St,,,"421",,Miami,,,US,,,25.814,-80.131,email9@miami.com,,,
address10,siteA10,EN,,,SW 7th St,,,"809400",,Miami,,,US,,,25.762,-80.308,email10@miami.com,,,
address11,siteA11,EN,,,S Flagler St,,,"13915",,Miami,,,US,,,25.767,-80.189,email11@miami.com,,,
address12,siteA12,EN,,,Main Highway,,,"415492",,Miami,,,US,,,25.731,-80.244,email12@miami.com,,,
address13,siteA13,EN,,,Washington St,,,"106600",,Boston,,,US,,,-71.058,42.360,email1@boston.com,,,
address14,siteA14,EN,,,Dorchester Ave,,,"245700",,Boston,,,US,,,-71.058,42.360,email2@boston.com,,,
address15,siteA15,EN,,,Huntington Ave,,,"14760",,Boston,,,US,,,-71.058,42.360,email3@boston.com,,,
address16,siteA16,EN,,,E Broadway,,,"710500",,Boston,,,US,,,42.335,-71.046,email4@boston.com,,,
address17,siteA17,EN,,,Kilmarnock St,,,"9490",,Boston,,,US,,,42.347,-71.102,email5@boston.com,,,
address18,siteA18,EN,,,Endicott St,,,"132500",,Boston,,,US,,,42.365,-71.056,email6@boston.com,,,
address19,siteA19,EN,,,Charles St,,,"210045",,Boston,,,US,,,42.362,-71.068,email7@boston.com,,,
address20,siteA20,EN,,,Washington St,,,"141246",,Boston,,,US,,,42.339,-71.073,email8@boston.com,,,
address21,siteA21,EN,,,Huntington Ave,,,"67116",,Boston,,,US,,,42.348,-71.081,email9@boston.com,,,
address22,siteA22,EN,,,Brattle St,,,"11308",,Boston,,,US,,,42.379,-71.128,email10@boston.com,,,
address23,siteA23,EN,,,Beacon St,,,"148924",,Boston,,,US,,,42.345,-71.121,email11@boston.com,,,
address24,siteA24,EN,,,Walnut St,,,"1216320",,Philadelphia,,,US,,,-75.163,39.952,email1@philly.com,,,
address25,siteA25,EN,,,W Girard Ave,,,"135360",,Philadelphia,,,US,,,-75.163,39.952,email2@philly.com,,,
address26,siteA26,EN,,,S 60th St.,,,"10920",,Philadelphia,,,US,,,-75.163,39.952,email3@philly.com,,,
address27,siteA27,EN,,,Grant Ave,,,"2611044",,Philadelphia,,,US,,,40.064,-75.002,email4@philly.com,,,
address28,siteA28,EN,,,W Duncannon Ave,,,"132374",,Philadelphia,,,US,,,40.034,-75.121,email5@philly.com,,,
address29,siteA29,EN,,,Monument Rd,,,"4161040",,Philadelphia,,,US,,,39.981,-75.225,email6@philly.com,,,
address30,siteA30,EN,,,Grays Ferry Ave,,,"2944758",,Philadelphia,,,US,,,39.939,-75.181,email7@philly.com,,,
address31,siteA31,EN,,,S College Ave,,,"128623",,Philadelphia,,,US,,,39.981,-75.175,email8@philly.com,,,
address32,siteA32,EN,,,Pennsylvania Ave,,,"199593",,Philadelphia,,,US,,,39.968,-75.172,email9@philly.com,,,
address33,siteA33,EN,,,S 13th St,,,"1072",,Philadelphia,,,US,,,39.950,-75.160,email10@philly.com,,,
address34,siteA34,EN,,,N Front St,,,"1337476",,Philadelphia,,,US,,,39.978,-75.143,email11@philly.com,,,
address35,siteA35,EN,,,"120 E 125th St.",,,"11400",,New York,,,US,,,40.800,-73.936,email@ny.com,,,
address36,siteA36,EN,,,W 14th St,,,"1752",,New York,,,US,,,40.741,-73.999,email1@ny.com,,,
address37,siteA37,EN,,,Greenwich St,,,"19239",,New York,,,US,,,40.713,-74.008,email2@ny.com,,,
address38,siteA38,EN,,,"1st Ave",,,"49113",,New York,,,US,,,40.732,-73.989,email3@ny.com,,,
address39,siteA39,EN,,,Spring St,,,"4832",,New York,,,US,,,40.725,-73.997,email4@ny.com,,,
address40,siteA40,EN,,,Clinton St,,,"14536",,New York,,,US,,,40.716,-73.987,email5@ny.com,,,
address41,siteA41,EN,,,W 34th St,,,"174981",,New York,,,US,,,40.753,-73.999,email7@ny.com,,,
address42,siteA42,EN,,,Broadway,,,"2696294",,New York,,,US,,,40.786,-73.974,email8@ny.com,,,
address43,siteA43,EN,,,Rockefeller Plaza,,,"242808",,New York,,,US,,,40.712,-74.006,email9@ny.com,,,
address44,siteA44,EN,,,"5th Ave",,,"26670",,New York,,,US,,,40.712,-74.006,email10@ny.com,,,
address45,siteA45,EN,,,"5th Ave",,,"142054",,New York,,,US,,,40.753,-73.974,email11@ny.com,,,
