EMPLOYEEID;DIVISIONID;DEPARTMENTID;JOBID;JOBCLASSIFICATIONID;MANAGERID;EXITREASON;DATE;EXITDATE;FTE;STANDARDWEEKLYHOURS;WORKINGDAYSPERWEEK;SALARY
E000094;DIV03;DEP032;444;JC_Expert;M237930;Undisclosed;20200127;20991231;1;40;5;107866
E000245;DIV03;DEP032;252;JC_Specialist;M266882;Undisclosed;20190905;20991231;1;40;5;47482
E000249;DIV09;DEP032;443;JC_Senior specialist;M300121;Undisclosed;20191104;20991231;1;40;5;52349
E000392;DIV03;DEP032;445;JC_Manager;M237930;Undisclosed;20191205;20991231;1;40;5;81716
E000707;DIV03;DEP011;442;JC_Specialist;M237930;Undisclosed;20190926;20991231;1;40;5;266525
E000849;DIV03;DEP011;443;JC_Senior specialist;M237930;Undisclosed;20190912;20991231;1;40;5;56755
E000899;DIV03;DEP011;252;JC_Specialist;M237930;Undisclosed;20191225;20991231;1;40;5;69909
E000928;DIV09;DEP011;444;JC_Expert;M300121;Undisclosed;20191126;20991231;1;40;5;54777
E001085;DIV03;DEP011;452;JC_Senior specialist;M237930;Undisclosed;20191202;20991231;1;40;5;112650
E001516;DIV02;DEP011;445;JC_Manager;M252825;Undisclosed;20170103;20991231;1;40;5;93234
E001724;DIV03;DEP011;321;JC_Specialist;M237930;Undisclosed;20190503;20991231;1;40;5;251818
E001747;DIV04;DEP011;443;JC_Senior specialist;M096889;Undisclosed;20190911;20991231;1;40;5;56204
E001945;DIV03;DEP011;461;JC_Associate;M237930;Undisclosed;20190718;20991231;1;40;5;75800
E002033;DIV03;DEP011;402;JC_Specialist;M266882;Undisclosed;20191003;20991231;1;40;5;25090
E002050;DIV09;DEP012;443;JC_Senior specialist;M300121;Undisclosed;20191004;20991231;1;40;5;40282
E002358;DIV03;DEP012;261;JC_Associate;M237930;Undisclosed;20190905;20991231;1;40;5;92196
E003039;DIV04;DEP012;461;JC_Associate;M019974;Undisclosed;20191123;20991231;1;40;5;41347
E003114;DIV03;DEP012;442;JC_Specialist;M237930;Undisclosed;20191126;20991231;1;40;5;80084
E003139;DIV03;DEP013;444;JC_Expert;M266882;Undisclosed;20191011;20991231;1;40;5;31528
E004551;DIV04;DEP013;383;JC_Senior specialist;M096889;Undisclosed;20191130;20991231;1;40;5;91980
E005043;DIV03;DEP013;322;JC_Senior specialist;M266882;Undisclosed;20191113;20991231;1;40;5;29606
E005292;DIV02;DEP013;461;JC_Associate;M252825;Undisclosed;20190906;20991231;1;40;5;109500
E005935;DIV03;DEP013;445;JC_Manager;M237930;Undisclosed;20190802;20991231;1;40;5;266579
E006070;DIV03;DEP013;444;JC_Expert;M237930;Undisclosed;20190920;20991231;1;40;5;111066
E006494;DIV02;DEP013;411;JC_Associate;M252825;Undisclosed;20191113;20991231;1;40;5;91165
E007063;DIV02;DEP013;322;JC_Senior specialist;M252825;Undisclosed;20191116;20991231;1;40;5;56687
E007561;DIV09;DEP013;443;JC_Senior specialist;M300121;Undisclosed;20191111;20991231;1;40;5;50578
E008043;DIV04;DEP013;452;JC_Senior specialist;M096889;Undisclosed;20190714;20991231;1;40;5;94010
E008099;DIV02;DEP013;454;JC_Manager;M252825;Undisclosed;20191207;20991231;1;40;5;69293
E009099;DIV02;DEP013;445;JC_Manager;M252825;Undisclosed;20190419;20991231;1;40;5;283613
E009731;DIV02;DEP014;450;JC_Associate;M252825;Undisclosed;20190708;20991231;1;40;5;12627
E009732;DIV05;DEP014;293;JC_Senior specialist;M044139;Undisclosed;20190829;20991231;1;40;5;97288
E009897;DIV02;DEP014;452;JC_Senior specialist;M252825;Undisclosed;20190828;20991231;1;40;5;26368
E010072;DIV05;DEP014;293;JC_Senior specialist;M044139;Undisclosed;20191004;20991231;1;40;5;32771
E010127;DIV03;DEP014;444;JC_Expert;M237930;Undisclosed;20190926;20991231;1;40;5;43322
E010260;DIV03;DEP014;445;JC_Manager;M237930;Undisclosed;20190627;20991231;1;40;5;52243
E010631;DIV02;DEP014;453;JC_Expert;M252825;Undisclosed;20190904;20991231;1;40;5;36394
E010869;DIV09;DEP014;252;JC_Specialist;M300121;Undisclosed;20190911;20991231;1;40;5;78133
E011085;DIV02;DEP014;455;JC_Director;M252825;Undisclosed;20191116;20991231;1;40;5;17811
E011786;DIV03;DEP014;445;JC_Manager;M237930;Undisclosed;20190904;20991231;1;40;5;21054
E011803;DIV02;DEP014;452;JC_Senior specialist;M252825;Undisclosed;20191102;20991231;1;40;5;48295
E012040;DIV03;DEP014;443;JC_Senior specialist;M237930;Undisclosed;20191124;20991231;1;40;5;50358
E012863;DIV02;DEP014;450;JC_Associate;M252825;Undisclosed;20190815;20991231;1;40;5;79181
E012908;DIV01;DEP014;331;JC_Specialist;M144808;Undisclosed;20190926;20991231;1;40;5;46751
E012910;DIV02;DEP014;450;JC_Associate;M252825;Undisclosed;20191206;20991231;1;40;5;85087
E012911;DIV03;DEP021;443;JC_Senior specialist;M237930;Undisclosed;20190906;20991231;1;40;5;45070
E013049;DIV03;DEP021;442;JC_Specialist;M237930;Undisclosed;20191103;20991231;1;40;5;82423
E013080;DIV03;DEP021;461;JC_Associate;M266882;Undisclosed;20191113;20991231;1;40;5;56985
E013296;DIV09;DEP021;402;JC_Specialist;M300121;Undisclosed;20191129;20991231;1;40;5;41093
E014311;DIV09;DEP021;444;JC_Expert;M300121;Undisclosed;20191215;20991231;1;40;5;42538
E014813;DIV09;DEP021;403;JC_Senior specialist;M300121;Undisclosed;20191127;20991231;1;40;5;45576
E014919;DIV09;DEP021;251;JC_Associate;M300121;Undisclosed;20190717;20991231;1;40;5;44110
E015365;DIV02;DEP021;252;JC_Specialist;M252825;Undisclosed;20191010;20991231;1;40;5;85927
E015570;DIV02;DEP021;452;JC_Senior specialist;M252825;Undisclosed;20191130;20991231;1;40;5;39050
E016145;DIV02;DEP021;450;JC_Associate;M252825;Undisclosed;20190724;20991231;1;40;5;62131
E016647;DIV02;DEP021;442;JC_Specialist;M252825;Undisclosed;20191123;20991231;1;40;5;25502
E016813;DIV03;DEP021;461;JC_Associate;M266882;Undisclosed;20190425;20991231;1;40;5;39617
E016945;DIV03;DEP021;442;JC_Specialist;M237930;Undisclosed;20190724;20991231;1;40;5;37609
E017149;DIV04;DEP021;261;JC_Associate;M019974;Undisclosed;20190925;20991231;1;40;5;38405
E017164;DIV09;DEP021;252;JC_Specialist;M300121;Undisclosed;20191215;20991231;1;40;5;53467
E017429;DIV02;DEP021;452;JC_Senior specialist;M252825;Undisclosed;20191222;20991231;1;40;5;18539
E017597;DIV03;DEP021;443;JC_Senior specialist;M237930;Undisclosed;20190714;20991231;1;40;5;45293
E017643;DIV02;DEP021;452;JC_Senior specialist;M252825;Undisclosed;20191113;20991231;1;40;5;19665
E017904;DIV02;DEP021;252;JC_Specialist;M252825;Undisclosed;20191107;20991231;1;40;5;61578
E018432;DIV03;DEP021;455;JC_Director;M237930;Undisclosed;20191027;20991231;1;40;5;84818
E018789;DIV03;DEP021;446;JC_Director;M237930;Undisclosed;20190828;20991231;1;40;5;48565
E019006;DIV09;DEP021;445;JC_Manager;M300121;Undisclosed;20190419;20991231;1;40;5;58462
E019045;DIV05;DEP021;293;JC_Senior specialist;M044139;Undisclosed;20191110;20991231;1;40;5;77832
E019248;DIV03;DEP021;442;JC_Specialist;M237930;Undisclosed;20191003;20991231;1;40;5;55353
E019441;DIV03;DEP021;445;JC_Manager;M237930;Undisclosed;20190831;20991231;1;40;5;58475
E019473;DIV09;DEP021;401;JC_Associate;M300121;Undisclosed;20191113;20991231;1;40;5;121112
E299668;DIV03;DEP021;445;JC_Manager;M237930;Undisclosed;20140103;20991231;1;40;5;65459
E020599;DIV02;DEP021;261;JC_Associate;M252825;Undisclosed;20210105;20991231;1;40;5;55632
E023550;DIV03;DEP021;361;JC_Associate;M237930;Undisclosed;20191106;20991231;1;40;5;18188
E025067;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20191103;20991231;1;40;5;17479
E029891;DIV03;DEP021;321;JC_Specialist;M266882;Undisclosed;20210127;20991231;1;40;5;19510
