EMPLOYEEID;JOBID;NEWTOPOSITION;PAYGRADEID;FULLTIME;COMPANYCODE;BUSINESSAREA
E000094;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area B
E000245;252;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E000249;443;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E000392;445;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E000707;442;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area C
E000849;443;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E000899;252;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
E000928;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E001085;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E001516;445;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E001724;321;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E001747;443;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E001945;461;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E002033;402;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E002050;443;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E002358;261;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E003039;461;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E003114;442;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E003139;444;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E004551;383;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E005043;322;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E005292;461;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E005935;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E006070;444;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E006494;411;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E007063;322;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E007561;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E008043;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E008099;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E009099;445;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E009731;450;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E009732;293;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E009897;452;TRUE;GR-16;TRUE;ACME LA Corp.;Business Area D
E010072;293;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E010127;444;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E010260;445;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E010631;453;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E010869;252;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E011085;455;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E011786;445;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E011803;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E012040;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E012863;450;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E012908;331;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E012910;450;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E012911;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E013049;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E013080;461;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E013296;402;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E014311;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E014813;403;FALSE;GR-12;TRUE;ACME Western EU SE;Business Area D
E014919;251;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E015365;252;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E015570;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E016145;450;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E016647;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E016813;461;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E016945;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E017149;261;FALSE;GR-13;TRUE;ACME LA Corp.;Business Area D
E017164;252;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E017429;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E017597;443;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E017643;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E017904;252;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E018432;455;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E018789;446;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E019006;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E019045;293;FALSE;GR-14;TRUE;ACME NA Corp.;Business Area A
E019248;442;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E019441;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E019473;401;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E299668;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E020599;261;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E023550;361;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E025067;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E029891;321;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E031110;452;TRUE;GR-11;TRUE;ACME LA Corp.;Business Area D
E032136;442;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E032226;452;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E032265;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E032510;444;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E033083;462;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E033329;450;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area B
E033391;253;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E033514;453;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E033711;383;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E034304;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E034691;461;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
