SALESORDERID;CREATEDBY;CREATEDAT;CHANGEDBY;CHANGEDAT;FISCALYEARVARIANT;FISCALYEARPERIOD;NOTEID;PARTNERID;SALESORG;CURRENCY;GROSSAMOUNT;NETAMOUNT;TAXAMOUNT;LIFECYCLESTATUS;BILLINGSTATUS;DELIVERYSTATUS
200000000;4;20150101;4;20150104;K4;2015001;;100000017;APJ;USD;3591;3142,13;448,88;C;C;C
200000003;2;20150106;2;20150107;K4;2015001;;100000010;EMEA;USD;8990;7866,25;1123,75;C;C;C
200000004;5;20150106;5;20150109;K4;2015001;;100000018;APJ;USD;67292;58880,5;8411,5;C;C;C
200000005;5;20150108;5;20150110;K4;2015001;;100000020;APJ;USD;8931;7814,63;1116,38;C;C;C
200000007;6;20150111;6;20150115;K4;2015001;;100000009;EMEA;USD;1299;1136,63;162,38;C;C;C
200000009;3;20150112;3;20150116;K4;2015001;;100000013;EMEA;USD;8641;7560,88;1080,13;C;C;C
200000010;2;20150115;2;20150119;K4;2015001;;100000006;EMEA;USD;14189;12415,38;1773,63;C;C;C
200000011;14;20150115;14;20150118;K4;2015001;;100000001;AMER;USD;4725;4134,38;590,63;C;C;C
200000012;6;20150118;6;20150123;K4;2015001;;100000005;EMEA;USD;11251;9844,63;1406,38;C;C;C
200000013;10;20150119;10;20150120;K4;2015001;;100000001;AMER;USD;897;784,88;112,13;C;C;C
200000016;6;20150123;6;20150125;K4;2015001;;100000013;EMEA;USD;83391;72967,13;10423,88;C;C;C
200000017;10;20150124;10;20150125;K4;2015001;;100000033;AMER;USD;38400;33600;4800;C;C;C
200000018;1;20150124;1;20150127;K4;2015001;;100000033;AMER;USD;17785;15561,88;2223,13;C;C;C
200000018;1;20150124;1;20150127;K4;2015001;;100000033;AMER;USD;40283;35247,63;5035,38;C;C;C
200000019;6;20150124;6;20150129;K4;2015001;;100000036;EMEA;USD;3675;3215,63;459,38;C;C;C
200000020;12;20150124;12;20150127;K4;2015001;;100000030;AMER;USD;17139;14996,63;2142,38;C;C;C
200000022;8;20150129;8;20150130;K4;2015001;;100000011;EMEA;USD;67176;58779;8397;C;C;C
200000023;2;20150131;2;20150203;K4;2015001;;100000025;EMEA;USD;22995;20120,63;2874,38;C;C;C
200000025;5;20150204;5;20150208;K4;2015002;;100000016;APJ;USD;50444;44138,5;6305,5;C;C;C
200000026;2;20150204;2;20150206;K4;2015002;;100000008;EMEA;USD;15037;13157,38;1879,63;C;C;C
200000027;5;20150204;5;20150208;K4;2015002;;100000020;APJ;USD;2067;1808,63;258,38;C;C;C
200000029;4;20150204;4;20150205;K4;2015002;;100000021;APJ;USD;1199;1049,13;149,88;C;C;C
200000029;4;20150204;4;20150205;K4;2015002;;100000021;APJ;USD;5699;4986,63;712,38;C;C;C
200000030;6;20150206;6;20150207;K4;2015002;;100000027;EMEA;USD;19200;16800;2400;C;C;C
200000031;4;20150209;4;20150212;K4;2015002;;100000018;APJ;USD;28314;24774,75;3539,25;C;C;C
200000032;2;20150211;2;20150215;K4;2015002;;100000011;EMEA;USD;52038;45533,25;6504,75;C;C;C
200000033;11;20150213;11;20150214;K4;2015002;;100000033;AMER;USD;38128;33362;4766;C;C;C
200000035;3;20150215;3;20150217;K4;2015002;;100000025;EMEA;USD;53117;46477,38;6639,63;C;C;C
200000036;2;20150217;2;20150221;K4;2015002;;100000007;EMEA;USD;7297;6384,88;912,13;C;C;C
