PRODUCTID,LANGUAGE,SHORT_DESCR,MEDIUM_DESCR,LONG_DESCR
RO-1001,EN,Roady 1001,,
RO-1002,EN,Roady 1002,,
RO-1003,EN,Roady 1003,,
BX-1011,EN,BMX Vintage 1011,,
BX-1012,EN,BMX Jump 1012,,
BX-1013,EN,BMX Jump Lux I,BWM Jump Luxury I,
BX-1014,EN,BMX Jump Lux II,BWM Jump Luxury II,
BX-1015,EN,BMX Optima,BMX Optima,
BX-1016,EN,BMX Optima II,BMX Optima II,
CC-1021,EN,Cyclone Basic,,
CC-1022,EN,Cyclone Speed,,
CC-1023,EN,Cyclone III,,
MB-1031,EN,Mt Discovery B, Mountain Discovery Basic,
MB-1032,EN,Mt Discovery Drive, Mountain Discovery Drive,
MB-1033,EN,Mt Discovery Rush, Mountain Discovery Rush,
MB-1034,EN,Mt Discovery Ulti,Mt Discovery Ultimate,
RC-1051,EN,Tornado I,Tornado I,
RC-1052,EN,Tornado II,Tornado II,
RC-1053,EN,Stream I,Stream I,
RC-1054,EN,Stream II,Stream II,
RC-1055,EN,Veloflash,Veloflash,
RC-1055,DE,Rennsemmel,Rennsemmel,
RC-1056,EN,Veloflash SE ,Veloflash Second Edition,
RC-1056,DE,Rennsemmel 2,Rennsemmel 2,
RC-1057,EN,Veloflash Ultimate,Veloflash Ultimate,
DB-1081,EN,Rooty Basic,Rooty Basic,
DB-1082,EN,Capricorn,Capricorn,
DB-1083,EN,Capricorn II,Capricorn II,
EB-1131,EN,Flash Drive,Flash Drive,
EB-1132,EN,Flash Drive II,Flash Drive II,
EB-1133,EN,Lazy Cat,Lazy Cat,
EB-1134,EN,Lazy Cat II,Lazy Cat II,
EB-1135,EN,Speedeon,Speedeon,
EB-1136,EN,Speedeon Light,Speedeon Light,
EB-1137,EN,Speedeon Cross,Speedeon Cross,
CB-1161,EN,La Plage,La Plage,
CB-1162,EN,La Plage Limited,La Plage Limited,
CB-1163,EN,La Plage Gold,La Plage Gold,
HB-1171,EN,Star Cruise,Star Cruise,
HB-1172,EN,Star Cruise II,Star Cruise II,
HB-1173,EN,Universal One,Universal One,
HB-1174,EN,Universal Two,Universal Two,
HB-1175,EN,Specifica,Specifica,
HB-1176,EN,Specifica Gold,Specifica Gold,
